Date,Open,High,Low,Close,Volume,Adj Close
2015-01-29,3650.26,3650.26,3650.26,3650.26,000,3650.26
2015-01-28,3659.72,3659.72,3659.72,3659.72,000,3659.72
2015-01-27,3650.80,3650.80,3650.80,3650.80,000,3650.80
2015-01-26,3672.98,3672.98,3672.98,3672.98,000,3672.98
2015-01-23,3664.41,3664.41,3664.41,3664.41,000,3664.41
2015-01-22,3644.98,3644.98,3644.98,3644.98,000,3644.98
2015-01-21,3610.37,3610.37,3610.37,3610.37,000,3610.37
2015-01-20,3558.63,3558.63,3558.63,3558.63,000,3558.63
2015-01-19,3540.97,3540.97,3540.97,3540.97,000,3540.97
2015-01-16,3520.23,3520.23,3520.23,3520.23,000,3520.23
2015-01-15,3497.58,3497.58,3497.58,3497.58,000,3497.58
2015-01-14,3447.51,3447.51,3447.51,3447.51,000,3447.51
2015-01-13,3523.04,3523.04,3523.04,3523.04,000,3523.04
2015-01-12,3500.08,3500.08,3500.08,3500.08,000,3500.08
2015-01-09,3502.48,3502.48,3502.48,3502.48,000,3502.48
2015-01-08,3535.47,3535.47,3535.47,3535.47,000,3535.47
2015-01-07,3460.78,3460.78,3460.78,3460.78,000,3460.78
2015-01-06,3434.73,3434.73,3434.73,3434.73,000,3434.73
2015-01-05,3462.39,3462.39,3462.39,3462.39,000,3462.39
2015-01-02,3524.09,3524.09,3524.09,3524.09,000,3524.09
2014-12-31,3532.74,3532.74,3532.74,3532.74,000,3532.74
2014-12-30,3521.22,3521.22,3521.22,3521.22,000,3521.22
2014-12-29,3560.90,3560.90,3560.90,3560.90,000,3560.90
2014-12-24,3552.11,3552.11,3552.11,3552.11,000,3552.11
2014-12-23,3546.56,3546.56,3546.56,3546.56,000,3546.56
2014-12-22,3533.33,3533.33,3533.33,3533.33,000,3533.33
2014-12-19,3515.70,3515.70,3515.70,3515.70,000,3515.70
2014-12-18,3474.92,3474.92,3474.92,3474.92,000,3474.92
2014-12-17,3407.04,3407.04,3407.04,3407.04,000,3407.04
2014-12-16,3404.22,3404.22,3404.22,3404.22,000,3404.22
2014-12-15,3332.06,3332.06,3332.06,3332.06,000,3332.06
2014-12-12,3389.49,3389.49,3389.49,3389.49,000,3389.49
2014-12-11,3470.90,3470.90,3470.90,3470.90,000,3470.90
2014-12-10,3491.02,3491.02,3491.02,3491.02,000,3491.02
2014-12-09,3502.88,3502.88,3502.88,3502.88,000,3502.88
2014-12-08,3574.30,3574.30,3574.30,3574.30,000,3574.30
2014-12-05,3607.25,3607.25,3607.25,3607.25,000,3607.25
2014-12-04,3588.67,3599.32,3570.22,3573.47,000,3573.47
2014-12-03,3601.12,3605.63,3588.13,3588.67,000,3588.67
2014-12-02,3558.94,3601.26,3558.94,3601.13,000,3601.13
2014-12-01,3593.32,3593.32,3549.94,3558.94,000,3558.94
2014-11-28,3594.62,3598.71,3566.98,3593.32,000,3593.32
2014-11-27,3593.62,3606.69,3587.41,3594.62,000,3594.62
2014-11-26,3595.91,3610.69,3588.93,3593.62,000,3593.62
2014-11-25,3590.99,3604.67,3585.29,3595.91,000,3595.91
2014-11-24,3599.12,3605.59,3586.50,3590.99,000,3590.99
